timestamp,event_wallclock,event,actor,actor_team,actor_latency_ms,actor_steamid,actor_steam_name,actor_ip,actor_is_bot,target,target_team,target_latency_ms,target_steamid,target_steam_name,target_ip,target_is_bot,source,value,unit,hp_before,hp_after
00:04:52.566,2026-04-07 14:58:31.647,hit,nevermore,RADIANT,20,,,,,bane,DIRE,,,,,,nevermore_shadowraze1,62,damage,676,614
00:04:52.566,2026-04-07 14:58:31.647,hit,nevermore,RADIANT,20,,,,,necrolyte,DIRE,,,,,,nevermore_shadowraze1,62,damage,560,498
00:04:52.566,2026-04-07 14:58:31.647,hit,nevermore,RADIANT,20,,,,,skywrath_mage,DIRE,,,,,,nevermore_shadowraze1,62,damage,676,614
00:04:52.633,2026-04-07 14:58:31.714,heal,necrolyte,DIRE,,,,,,bane,DIRE,,,,,,necrolyte_death_pulse,62,health,614,676
00:04:52.733,2026-04-07 14:58:31.814,hit,necrolyte,DIRE,,,,,,bounty_hunter,RADIANT,20,,,,,necrolyte_death_pulse,73,damage,632,559
00:04:52.866,2026-04-07 14:58:31.947,hit,necrolyte,DIRE,,,,,,nevermore,RADIANT,20,,,,,necrolyte_death_pulse,74,damage,538,464
00:04:52.900,2026-04-07 14:58:31.981,hit,bane,DIRE,,,,,,nevermore,RADIANT,20,,,,,bane_brain_sap,90,damage,464,374
00:04:52.900,2026-04-07 14:58:31.981,hit,necrolyte,DIRE,,,,,,lich,RADIANT,20,,,,,necrolyte_death_pulse,73,damage,610,537
00:04:52.966,2026-04-07 14:58:32.047,hit,lich,RADIANT,20,,,,,bane,DIRE,,,,,,lich_frost_nova,59,damage,676,617
00:04:52.966,2026-04-07 14:58:32.047,hit,lich,RADIANT,20,,,,,necrolyte,DIRE,,,,,,lich_frost_nova,58,damage,499,441
00:04:52.966,2026-04-07 14:58:32.047,hit,lich,RADIANT,20,,,,,skywrath_mage,DIRE,,,,,,lich_frost_nova,58,damage,615,557
00:04:52.966,2026-04-07 14:58:32.047,hit,lich,RADIANT,20,,,,,necrolyte,DIRE,,,,,,lich_frost_nova,29,damage,441,412
00:04:52.966,2026-04-07 14:58:32.047,hit,necrolyte,DIRE,,,,,,dragon_knight,RADIANT,20,,,,,necrolyte_death_pulse,74,damage,582,508
00:04:53.066,2026-04-07 14:58:32.147,heal,necrolyte,DIRE,,,,,,skywrath_mage,DIRE,,,,,,necrolyte_death_pulse,70,health,558,628
00:04:53.433,2026-04-07 14:58:32.514,hit,bounty_hunter,RADIANT,20,,,,,skywrath_mage,DIRE,,,,,,dota_unknown,60,damage,629,569
00:04:53.566,2026-04-07 14:58:32.647,hit,dragon_knight,RADIANT,20,,,,,skywrath_mage,DIRE,,,,,,dota_unknown,58,damage,569,511
00:04:53.866,2026-04-07 14:58:32.947,hit,lich,RADIANT,20,,,,,skywrath_mage,DIRE,,,,,,dota_unknown,53,damage,512,459
00:04:54.666,2026-04-07 14:58:33.747,hit,bounty_hunter,RADIANT,20,,,,,skywrath_mage,DIRE,,,,,,dota_unknown,59,damage,461,402
00:04:54.966,2026-04-07 14:58:34.047,hit,dragon_knight,RADIANT,20,,,,,skywrath_mage,DIRE,,,,,,dota_unknown,54,damage,403,349
00:04:55.833,2026-04-07 14:58:34.914,hit,lich,RADIANT,20,,,,,skywrath_mage,DIRE,,,,,,dota_unknown,53,damage,352,299
00:04:56.933,2026-04-07 14:58:36.014,hit,nevermore,RADIANT,20,,,,,bane,DIRE,,,,,,dota_unknown,37,damage,628,591
00:04:58.333,2026-04-07 14:58:37.414,hit,nevermore,RADIANT,20,,,,,bane,DIRE,,,,,,dota_unknown,32,damage,595,563
00:05:00.666,2026-04-07 14:58:39.747,hit,badguys_tower1_mid,DIRE,20,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,59,damage,545,486
00:05:01.133,2026-04-07 14:58:40.214,hit,necrolyte,DIRE,20,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,31,damage,489,458
00:05:01.500,2026-04-07 14:58:40.581,hit,badguys_tower1_mid,DIRE,20,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,69,damage,460,391
00:05:02.800,2026-04-07 14:58:41.881,hit,badguys_tower1_mid,DIRE,20,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,70,damage,397,327
00:05:03.766,2026-04-07 14:58:42.847,hit,badguys_tower1_mid,DIRE,20,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,69,damage,331,262
00:05:04.566,2026-04-07 14:58:43.647,hit,badguys_tower1_mid,DIRE,20,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,69,damage,266,197
00:05:12.966,2026-04-07 14:58:52.047,hit,sniper,RADIANT,,,,,,creep_badguys_ranged,DIRE,20,,,,,dota_unknown,51,damage,300,249
00:05:14.333,2026-04-07 14:58:53.414,hit,sniper,RADIANT,,,,,,creep_badguys_ranged,DIRE,20,,,,,dota_unknown,72,damage,252,180
00:05:15.666,2026-04-07 14:58:54.747,hit,sniper,RADIANT,,,,,,creep_badguys_ranged,DIRE,20,,,,,dota_unknown,56,damage,183,127
00:05:16.933,2026-04-07 14:58:56.014,hit,sniper,RADIANT,,,,,,creep_badguys_ranged,DIRE,20,,,,,dota_unknown,75,damage,129,54
00:05:18.333,2026-04-07 14:58:57.414,kill,creep_badguys_melee,DIRE,20,,,,,creep_goodguys_melee,RADIANT,,,,,,,,,,
00:05:18.700,2026-04-07 14:58:57.781,hit,sniper,RADIANT,,,,,,creep_badguys_melee,DIRE,20,,,,,dota_unknown,47,damage,58,11
00:05:19.166,2026-04-07 14:58:58.247,kill,creep_goodguys_ranged,RADIANT,,,,,,creep_badguys_melee,DIRE,20,,,,,,,,,
00:05:20.200,2026-04-07 14:58:59.281,hit,sniper,RADIANT,,,,,,creep_badguys_ranged,DIRE,20,,,,,dota_unknown,61,damage,,
00:05:20.200,2026-04-07 14:58:59.281,kill,sniper,RADIANT,,,,,,creep_badguys_ranged,DIRE,20,,,,,,,,,
00:05:20.333,2026-04-07 14:58:59.414,hit,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,creep_goodguys_melee,RADIANT,,,,,,dota_unknown,49,damage,550,501
00:05:21.500,2026-04-07 14:59:00.581,hit,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,creep_goodguys_melee,RADIANT,,,,,,dota_unknown,47,damage,501,454
00:05:21.800,2026-04-07 14:59:00.881,hit,creep_goodguys_ranged,RADIANT,,,,,,tidehunter,DIRE,20,,,,,dota_unknown,11,damage,695,684
00:05:22.100,2026-04-07 14:59:01.181,hit,creep_goodguys_melee,RADIANT,,,,,,tidehunter,DIRE,20,,,,,dota_unknown,13,damage,685,672
00:05:22.733,2026-04-07 14:59:01.814,hit,creep_goodguys_ranged,RADIANT,,,,,,tidehunter,DIRE,20,,,,,dota_unknown,11,damage,674,663
00:05:22.833,2026-04-07 14:59:01.914,hit,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,creep_goodguys_melee,RADIANT,,,,,,dota_unknown,51,damage,383,332
00:05:22.866,2026-04-07 14:59:01.947,hit,tidehunter,DIRE,20,,,,,creep_goodguys_melee,RADIANT,,,,,,dota_unknown,58,damage,550,492
