timestamp,event_wallclock,event,actor,actor_team,actor_latency_ms,actor_steamid,actor_steam_name,actor_ip,actor_is_bot,item,value,unit
00:03:07.433,2026-04-07 14:56:46.514,gold_gain,tidehunter,DIRE,,,,,,,600,gold
00:03:07.466,2026-04-07 14:56:46.547,gold_gain,nevermore,RADIANT,20,,,,,,600,gold
00:03:07.500,2026-04-07 14:56:46.581,gold_gain,drow_ranger,DIRE,,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,600,gold
00:03:07.533,2026-04-07 14:56:46.614,gold_gain,sniper,RADIANT,20,,,,,,600,gold
00:03:23.100,2026-04-07 14:57:02.181,gold_gain,dragon_knight,RADIANT,20,,,,,,600,gold
00:03:23.133,2026-04-07 14:57:02.214,buy_item,dragon_knight,RADIANT,20,,,,,tango,,
00:03:23.133,2026-04-07 14:57:02.214,buy_item,dragon_knight,RADIANT,20,,,,,boots,,
00:03:23.133,2026-04-07 14:57:02.214,gold_gain,bounty_hunter,RADIANT,20,,,,,,600,gold
00:03:23.166,2026-04-07 14:57:02.247,buy_item,bounty_hunter,RADIANT,20,,,,,tango,,
00:03:23.166,2026-04-07 14:57:02.247,buy_item,bounty_hunter,RADIANT,20,,,,,blood_grenade,,
00:03:23.166,2026-04-07 14:57:02.247,gold_gain,lich,RADIANT,20,,,,,,600,gold
00:03:23.200,2026-04-07 14:57:02.281,buy_item,lich,RADIANT,20,,,,,tango,,
00:03:23.200,2026-04-07 14:57:02.281,buy_item,lich,RADIANT,20,,,,,blood_grenade,,
00:03:23.200,2026-04-07 14:57:02.281,gold_gain,necrolyte,DIRE,,,,,,,600,gold
00:03:23.233,2026-04-07 14:57:02.314,buy_item,necrolyte,DIRE,,,,,,tango,,
00:03:23.233,2026-04-07 14:57:02.314,buy_item,necrolyte,DIRE,,,,,,mantle,,
00:03:23.233,2026-04-07 14:57:02.314,gold_gain,skywrath_mage,DIRE,,,,,,,600,gold
00:03:23.266,2026-04-07 14:57:02.347,buy_item,bounty_hunter,RADIANT,20,,,,,enchanted_mango,,
00:03:23.266,2026-04-07 14:57:02.347,buy_item,bounty_hunter,RADIANT,20,,,,,slippers,,
00:03:23.266,2026-04-07 14:57:02.347,buy_item,skywrath_mage,DIRE,,,,,,tango,,
00:03:23.266,2026-04-07 14:57:02.347,buy_item,skywrath_mage,DIRE,,,,,,blood_grenade,,
00:03:23.333,2026-04-07 14:57:02.414,buy_item,lich,RADIANT,20,,,,,enchanted_mango,,
00:03:23.333,2026-04-07 14:57:02.414,buy_item,necrolyte,DIRE,,,,,,circlet,,
00:03:23.333,2026-04-07 14:57:02.414,buy_item,necrolyte,DIRE,,,,,,null_talisman,,
00:03:23.333,2026-04-07 14:57:02.414,buy_item,necrolyte,DIRE,,,,,,recipe_null_talisman,,
00:03:23.366,2026-04-07 14:57:02.447,buy_item,bounty_hunter,RADIANT,20,,,,,circlet,,
00:03:23.366,2026-04-07 14:57:02.447,buy_item,skywrath_mage,DIRE,,,,,,enchanted_mango,,
00:03:23.366,2026-04-07 14:57:02.447,buy_item,skywrath_mage,DIRE,,,,,,mantle,,
00:03:23.466,2026-04-07 14:57:02.547,gold_gain,bane,DIRE,,,,,,,600,gold
00:03:23.500,2026-04-07 14:57:02.581,buy_item,skywrath_mage,DIRE,,,,,,circlet,,
00:03:23.500,2026-04-07 14:57:02.581,buy_item,bane,DIRE,,,,,,tango,,
00:03:23.500,2026-04-07 14:57:02.581,buy_item,bane,DIRE,,,,,,blood_grenade,,
00:03:23.633,2026-04-07 14:57:02.714,buy_item,bane,DIRE,,,,,,enchanted_mango,,
00:03:35.233,2026-04-07 14:57:14.314,buy_item,tidehunter,DIRE,,,,,,quelling_blade,,
00:03:39.033,2026-04-07 14:57:18.114,buy_item,tidehunter,DIRE,,,,,,magic_stick,,
00:03:46.233,2026-04-07 14:57:25.314,buy_item,tidehunter,DIRE,,,,,,ring_of_protection,,
00:03:49.433,2026-04-07 14:57:28.514,buy_item,tidehunter,DIRE,,,,,,flask,,
00:04:52.133,2026-04-07 14:58:31.214,gold_gain,skywrath_mage,DIRE,,,,,,,40,gold
00:04:52.133,2026-04-07 14:58:31.214,gold_gain,tidehunter,DIRE,,,,,,,40,gold
00:04:52.133,2026-04-07 14:58:31.214,gold_gain,bane,DIRE,,,,,,,40,gold
00:04:52.133,2026-04-07 14:58:31.214,gold_gain,necrolyte,DIRE,,,,,,,40,gold
00:04:52.133,2026-04-07 14:58:31.214,gold_gain,drow_ranger,DIRE,,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,40,gold
00:05:03.166,2026-04-07 14:58:42.247,use_item,dragon_knight,RADIANT,,,,,,tpscroll,,
00:05:03.266,2026-04-07 14:58:42.347,use_item,bounty_hunter,RADIANT,,,,,,tpscroll,,
00:05:03.300,2026-04-07 14:58:42.381,use_item,lich,RADIANT,,,,,,tpscroll,,
00:05:06.266,2026-04-07 14:58:45.347,use_item,bane,DIRE,20,,,,,tpscroll,,
00:05:06.333,2026-04-07 14:58:45.414,buy_item,lich,RADIANT,,,,,,tpscroll,,
00:05:06.366,2026-04-07 14:58:45.447,buy_item,bounty_hunter,RADIANT,,,,,,tpscroll,,
00:05:06.366,2026-04-07 14:58:45.447,use_item,necrolyte,DIRE,20,,,,,tpscroll,,
00:05:06.400,2026-04-07 14:58:45.481,use_item,skywrath_mage,DIRE,20,,,,,tpscroll,,
00:05:09.300,2026-04-07 14:58:48.381,buy_item,bane,DIRE,20,,,,,tpscroll,,
00:05:09.733,2026-04-07 14:58:48.814,buy_item,skywrath_mage,DIRE,20,,,,,tpscroll,,
00:05:19.166,2026-04-07 14:58:58.247,xp_gain,sniper,RADIANT,,,,,,,57,xp
00:05:20.200,2026-04-07 14:58:59.281,gold_gain,sniper,RADIANT,,,,,,,49,gold
00:05:20.200,2026-04-07 14:58:59.281,xp_gain,sniper,RADIANT,,,,,,,69,xp
00:05:25.900,2026-04-07 14:59:04.981,gold_gain,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,34,gold
00:05:25.900,2026-04-07 14:59:04.981,xp_gain,tidehunter,DIRE,20,,,,,,28,xp
00:05:25.900,2026-04-07 14:59:04.981,xp_gain,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,28,xp
00:05:28.400,2026-04-07 14:59:07.481,xp_gain,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,28,xp
00:05:28.400,2026-04-07 14:59:07.481,xp_gain,tidehunter,DIRE,20,,,,,,28,xp
00:05:28.466,2026-04-07 14:59:07.547,gold_gain,sniper,RADIANT,,,,,,,34,gold
00:05:28.466,2026-04-07 14:59:07.547,xp_gain,sniper,RADIANT,,,,,,,57,xp
00:05:28.866,2026-04-07 14:59:07.947,buy_item,necrolyte,DIRE,20,,,,,tpscroll,,
00:05:31.300,2026-04-07 14:59:10.381,gold_gain,sniper,RADIANT,,,,,,,37,gold
00:05:31.300,2026-04-07 14:59:10.381,xp_gain,sniper,RADIANT,,,,,,,57,xp
00:05:34.200,2026-04-07 14:59:13.281,xp_gain,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,28,xp
00:05:34.200,2026-04-07 14:59:13.281,xp_gain,tidehunter,DIRE,20,,,,,,28,xp
00:05:36.700,2026-04-07 14:59:15.781,gold_gain,tidehunter,DIRE,20,,,,,,52,gold
00:05:36.700,2026-04-07 14:59:15.781,xp_gain,tidehunter,DIRE,20,,,,,,34,xp
00:05:36.700,2026-04-07 14:59:15.781,xp_gain,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,34,xp
00:05:40.733,2026-04-07 14:59:19.814,gold_gain,lich,RADIANT,,,,,,,40,gold
00:05:40.733,2026-04-07 14:59:19.814,gold_gain,sniper,RADIANT,,,,,,,40,gold
00:05:40.733,2026-04-07 14:59:19.814,gold_gain,dragon_knight,RADIANT,,,,,,,40,gold
00:05:40.733,2026-04-07 14:59:19.814,gold_gain,bounty_hunter,RADIANT,,,,,,,40,gold
00:05:40.733,2026-04-07 14:59:19.814,gold_gain,nevermore,RADIANT,,,,,,,40,gold
00:05:40.733,2026-04-07 14:59:19.814,buy_item,dragon_knight,RADIANT,,,,,,tpscroll,,
00:05:42.466,2026-04-07 14:59:21.547,xp_gain,nevermore,RADIANT,,,,,,,57,xp
00:05:42.766,2026-04-07 14:59:21.847,gold_gain,lich,RADIANT,,,,,,,40,gold
00:05:42.766,2026-04-07 14:59:21.847,gold_gain,dragon_knight,RADIANT,,,,,,,40,gold
00:05:42.766,2026-04-07 14:59:21.847,gold_gain,nevermore,RADIANT,,,,,,,40,gold
00:05:42.766,2026-04-07 14:59:21.847,gold_gain,bounty_hunter,RADIANT,,,,,,,40,gold
00:05:42.766,2026-04-07 14:59:21.847,gold_gain,sniper,RADIANT,,,,,,,40,gold
00:05:43.500,2026-04-07 14:59:22.581,xp_gain,bounty_hunter,RADIANT,,,,,,,57,xp
00:05:43.933,2026-04-07 14:59:23.014,gold_gain,skywrath_mage,DIRE,20,,,,,,40,gold
00:05:43.933,2026-04-07 14:59:23.014,gold_gain,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,40,gold
00:05:43.933,2026-04-07 14:59:23.014,gold_gain,necrolyte,DIRE,20,,,,,,40,gold
00:05:43.933,2026-04-07 14:59:23.014,gold_gain,bane,DIRE,20,,,,,,40,gold
00:05:43.933,2026-04-07 14:59:23.014,gold_gain,tidehunter,DIRE,20,,,,,,40,gold
00:05:46.100,2026-04-07 14:59:25.181,gold_gain,nevermore,RADIANT,,,,,,,36,gold
00:05:46.100,2026-04-07 14:59:25.181,xp_gain,nevermore,RADIANT,,,,,,,57,xp
00:05:46.900,2026-04-07 14:59:25.981,xp_gain,necrolyte,DIRE,20,,,,,,57,xp
00:05:47.700,2026-04-07 14:59:26.781,xp_gain,nevermore,RADIANT,,,,,,,57,xp
00:05:49.966,2026-04-07 14:59:29.047,xp_gain,nevermore,RADIANT,,,,,,,69,xp
00:05:51.033,2026-04-07 14:59:30.114,xp_gain,necrolyte,DIRE,20,,,,,,57,xp
00:05:51.633,2026-04-07 14:59:30.714,gold_gain,dragon_knight,RADIANT,,,,,,,51,gold
00:05:51.633,2026-04-07 14:59:30.714,xp_gain,dragon_knight,RADIANT,,,,,,,34,xp
00:05:51.633,2026-04-07 14:59:30.714,xp_gain,bounty_hunter,RADIANT,,,,,,,34,xp
00:05:51.933,2026-04-07 14:59:31.014,buy_item,dragon_knight,RADIANT,,,,,,tpscroll,,
00:05:54.066,2026-04-07 14:59:33.147,xp_gain,sniper,RADIANT,,,,,,,57,xp
00:05:54.300,2026-04-07 14:59:33.381,xp_gain,necrolyte,DIRE,20,,,,,,57,xp
00:05:56.766,2026-04-07 14:59:35.847,xp_gain,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,28,xp
00:05:56.766,2026-04-07 14:59:35.847,xp_gain,tidehunter,DIRE,20,,,,,,28,xp
00:05:57.300,2026-04-07 14:59:36.381,gold_gain,dragon_knight,RADIANT,,,,,,,38,gold
00:05:57.300,2026-04-07 14:59:36.381,xp_gain,dragon_knight,RADIANT,,,,,,,28,xp
00:05:57.300,2026-04-07 14:59:36.381,xp_gain,bounty_hunter,RADIANT,,,,,,,28,xp
00:05:59.033,2026-04-07 14:59:38.114,xp_gain,necrolyte,DIRE,20,,,,,,34,xp
00:06:01.533,2026-04-07 14:59:40.614,xp_gain,tidehunter,DIRE,20,,,,,,28,xp
00:06:01.533,2026-04-07 14:59:40.614,xp_gain,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,28,xp
00:06:02.333,2026-04-07 14:59:41.414,xp_gain,bane,DIRE,20,,,,,,28,xp
00:06:02.333,2026-04-07 14:59:41.414,xp_gain,skywrath_mage,DIRE,20,,,,,,28,xp
00:06:04.800,2026-04-07 14:59:43.881,gold_gain,tidehunter,DIRE,20,,,,,,34,gold
00:06:04.800,2026-04-07 14:59:43.881,xp_gain,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,28,xp
00:06:04.800,2026-04-07 14:59:43.881,xp_gain,tidehunter,DIRE,20,,,,,,28,xp
00:06:07.333,2026-04-07 14:59:46.414,xp_gain,sniper,RADIANT,,,,,,,57,xp
00:06:08.266,2026-04-07 14:59:47.347,xp_gain,bounty_hunter,RADIANT,,,,,,,14,xp
00:06:08.266,2026-04-07 14:59:47.347,xp_gain,dragon_knight,RADIANT,,,,,,,14,xp
00:06:08.866,2026-04-07 14:59:47.947,gold_gain,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,47,gold
00:06:08.866,2026-04-07 14:59:47.947,xp_gain,drow_ranger,DIRE,20,76561198754834110,phamquanghuy3678445,172.19.66.176,false,,34,xp
00:06:08.866,2026-04-07 14:59:47.947,xp_gain,tidehunter,DIRE,20,,,,,,34,xp
00:06:08.933,2026-04-07 14:59:48.014,xp_gain,dragon_knight,RADIANT,,,,,,,28,xp
00:06:08.933,2026-04-07 14:59:48.014,xp_gain,bounty_hunter,RADIANT,,,,,,,28,xp
00:06:09.666,2026-04-07 14:59:48.747,xp_gain,sniper,RADIANT,,,,,,,57,xp
00:06:10.000,2026-04-07 14:59:49.081,gold_gain,skywrath_mage,DIRE,20,,,,,,39,gold
00:06:10.000,2026-04-07 14:59:49.081,xp_gain,bane,DIRE,20,,,,,,28,xp
00:06:10.000,2026-04-07 14:59:49.081,xp_gain,skywrath_mage,DIRE,20,,,,,,28,xp
00:06:10.066,2026-04-07 14:59:49.147,buy_item,skywrath_mage,DIRE,20,,,,,recipe_null_talisman,,
00:06:10.533,2026-04-07 14:59:49.614,xp_gain,sniper,RADIANT,,,,,,,34,xp
00:06:10.933,2026-04-07 14:59:50.014,xp_gain,nevermore,RADIANT,,,,,,,28,xp
00:06:10.933,2026-04-07 14:59:50.014,xp_gain,lich,RADIANT,,,,,,,28,xp
00:06:11.633,2026-04-07 14:59:50.714,xp_gain,skywrath_mage,DIRE,20,,,,,,28,xp
00:06:11.633,2026-04-07 14:59:50.714,xp_gain,bane,DIRE,20,,,,,,28,xp
00:06:12.166,2026-04-07 14:59:51.247,xp_gain,lich,RADIANT,,,,,,,28,xp
00:06:12.166,2026-04-07 14:59:51.247,xp_gain,nevermore,RADIANT,,,,,,,28,xp
00:06:12.633,2026-04-07 14:59:51.714,xp_gain,bounty_hunter,RADIANT,,,,,,,34,xp
00:06:12.633,2026-04-07 14:59:51.714,xp_gain,dragon_knight,RADIANT,,,,,,,34,xp
00:06:15.733,2026-04-07 14:59:54.814,buy_item,bane,DIRE,20,,,,,boots,,
00:06:15.733,2026-04-07 14:59:54.814,buy_item,lich,RADIANT,,,,,,boots,,
00:06:15.833,2026-04-07 14:59:54.914,xp_gain,nevermore,RADIANT,,,,,,,34,xp
00:06:15.833,2026-04-07 14:59:54.914,xp_gain,lich,RADIANT,,,,,,,34,xp
00:06:16.733,2026-04-07 14:59:55.814,xp_gain,sniper,RADIANT,,,,,,,57,xp
00:06:17.000,2026-04-07 14:59:56.081,gold_gain,skywrath_mage,DIRE,20,,,,,,47,gold
00:06:17.000,2026-04-07 14:59:56.081,xp_gain,skywrath_mage,DIRE,20,,,,,,34,xp
00:06:17.000,2026-04-07 14:59:56.081,xp_gain,bane,DIRE,20,,,,,,34,xp
00:06:18.066,2026-04-07 14:59:57.147,xp_gain,nevermore,RADIANT,,,,,,,28,xp
00:06:18.066,2026-04-07 14:59:57.147,xp_gain,lich,RADIANT,,,,,,,28,xp
00:06:18.800,2026-04-07 14:59:57.881,buy_item,bounty_hunter,RADIANT,,,,,,recipe_wraith_band,,
00:06:19.900,2026-04-07 14:59:58.981,gold_gain,skywrath_mage,DIRE,20,,,,,,46,gold
00:06:19.900,2026-04-07 14:59:58.981,xp_gain,skywrath_mage,DIRE,20,,,,,,34,xp
00:06:19.900,2026-04-07 14:59:58.981,xp_gain,bane,DIRE,20,,,,,,34,xp
00:06:20.166,2026-04-07 14:59:59.247,xp_gain,sniper,RADIANT,,,,,,,57,xp
00:06:23.266,2026-04-07 15:00:02.347,use_item,dragon_knight,RADIANT,,,,,,tpscroll,,
00:06:23.300,2026-04-07 15:00:02.381,use_item,bounty_hunter,RADIANT,,,,,,tpscroll,,
00:06:23.366,2026-04-07 15:00:02.447,use_item,lich,RADIANT,,,,,,tpscroll,,
00:06:24.600,2026-04-07 15:00:03.681,gold_gain,sniper,RADIANT,,,,,,,38,gold
00:06:24.600,2026-04-07 15:00:03.681,xp_gain,sniper,RADIANT,,,,,,,57,xp
00:06:26.333,2026-04-07 15:00:05.414,use_item,bane,DIRE,20,,,,,tpscroll,,
00:06:26.433,2026-04-07 15:00:05.514,buy_item,necrolyte,DIRE,20,,,,,tpscroll,,
