timestamp,event_wallclock,event,actor,actor_team,actor_latency_ms,actor_steamid,actor_steam_name,actor_ip,actor_is_bot,item,value,unit
00:03:47.866,2026-04-08 15:16:08.690,gold_gain,nevermore,RADIANT,20,76561198781085397,huy.quoc1205,172.19.142.242,false,,600,gold
00:03:47.900,2026-04-08 15:16:08.724,gold_gain,primal_beast,DIRE,,76561198405243843,Chubby,172.19.126.193,false,,600,gold
00:03:47.933,2026-04-08 15:16:08.757,gold_gain,zuus,RADIANT,20,76561198754834110,phamquanghuy3678445,172.19.123.40,false,,600,gold
00:03:47.966,2026-04-08 15:16:08.790,gold_gain,drow_ranger,DIRE,,76561198306618603,reinvented,172.19.139.77,false,,600,gold
00:03:48.000,2026-04-08 15:16:08.824,gold_gain,kunkka,RADIANT,20,,,,,,600,gold
00:03:48.033,2026-04-08 15:16:08.857,gold_gain,bloodseeker,RADIANT,20,,,,,,600,gold
00:03:48.066,2026-04-08 15:16:08.890,gold_gain,bane,RADIANT,20,,,,,,600,gold
00:03:48.100,2026-04-08 15:16:08.924,gold_gain,vengefulspirit,DIRE,,,,,,,600,gold
00:03:48.133,2026-04-08 15:16:08.957,gold_gain,dragon_knight,DIRE,,,,,,,600,gold
00:03:48.166,2026-04-08 15:16:08.990,gold_gain,crystal_maiden,DIRE,,,,,,,600,gold
00:04:01.533,2026-04-08 15:16:22.357,buy_item,crystal_maiden,DIRE,,,,,,tango,,
00:04:01.533,2026-04-08 15:16:22.357,buy_item,crystal_maiden,DIRE,,,,,,blood_grenade,,
00:04:01.533,2026-04-08 15:16:22.357,buy_item,bane,RADIANT,20,,,,,tango,,
00:04:01.533,2026-04-08 15:16:22.357,buy_item,bane,RADIANT,20,,,,,blood_grenade,,
00:04:01.533,2026-04-08 15:16:22.357,buy_item,dragon_knight,DIRE,,,,,,tango,,
00:04:01.533,2026-04-08 15:16:22.357,buy_item,dragon_knight,DIRE,,,,,,boots,,
00:04:01.533,2026-04-08 15:16:22.357,buy_item,bloodseeker,RADIANT,20,,,,,tango,,
00:04:01.533,2026-04-08 15:16:22.357,buy_item,bloodseeker,RADIANT,20,,,,,boots,,
00:04:01.533,2026-04-08 15:16:22.357,buy_item,kunkka,RADIANT,20,,,,,tango,,
00:04:01.533,2026-04-08 15:16:22.357,buy_item,kunkka,RADIANT,20,,,,,gauntlets,,
00:04:01.533,2026-04-08 15:16:22.357,buy_item,vengefulspirit,DIRE,,,,,,tango,,
