team,latency_ms,start_time,end_time,duration_sec,status,mode,cycle
A,20,2026-04-08 15:12:20.844,2026-04-08 15:17:20.948,300.0,completed,shuffle,1
B,20,2026-04-08 15:17:20.972,2026-04-08 15:17:37.654,300.0,interrupted,shuffle,1
A,20,2026-04-08 15:23:09.898,2026-04-08 15:28:10.024,300.0,completed,shuffle,1
B,20,2026-04-08 15:28:10.064,2026-04-08 15:33:10.102,300.0,completed,shuffle,1
A,40,2026-04-08 15:33:10.123,2026-04-08 15:38:10.165,300.0,completed,shuffle,1
B,40,2026-04-08 15:38:10.196,2026-04-08 15:43:10.228,300.0,completed,shuffle,1
A,60,2026-04-08 15:43:10.275,2026-04-08 15:48:10.301,300.0,completed,shuffle,1
B,60,2026-04-08 15:48:10.354,2026-04-08 15:53:10.386,300.0,completed,shuffle,1
A,80,2026-04-08 15:53:10.433,2026-04-08 15:58:10.479,300.0,completed,shuffle,1
B,80,2026-04-08 15:58:10.511,2026-04-08 16:03:10.593,300.0,completed,shuffle,1
A,100,2026-04-08 16:03:10.651,2026-04-08 16:08:10.718,300.0,completed,shuffle,1
B,100,2026-04-08 16:08:10.786,2026-04-08 16:13:10.822,300.0,completed,shuffle,1
A,20,2026-04-08 16:13:14.511,2026-04-08 16:18:14.565,300.0,completed,shuffle,2
B,20,2026-04-08 16:18:14.619,2026-04-08 16:20:14.461,300.0,interrupted,shuffle,2
