timestamp,logger,event_type,mode,cycle,team,latency_ms,duration_sec,status,latency_values,teams,message
2026-04-08 15:12:20.844,tcp_client,latency_step_start,shuffle,1,A,20,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=20 | duration_sec=300.0
2026-04-08 15:17:20.948,tcp_client,latency_step_end,shuffle,1,A,20,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=20 | status=completed
2026-04-08 15:17:20.972,tcp_client,latency_step_start,shuffle,1,B,20,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=20 | duration_sec=300.0
2026-04-08 15:17:37.654,tcp_client,latency_step_end,shuffle,1,B,20,,interrupted,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=20 | status=interrupted
2026-04-08 15:23:09.898,tcp_client,latency_step_start,shuffle,1,A,20,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=20 | duration_sec=300.0
2026-04-08 15:28:10.024,tcp_client,latency_step_end,shuffle,1,A,20,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=20 | status=completed
2026-04-08 15:28:10.064,tcp_client,latency_step_start,shuffle,1,B,20,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=20 | duration_sec=300.0
2026-04-08 15:33:10.102,tcp_client,latency_step_end,shuffle,1,B,20,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=20 | status=completed
2026-04-08 15:33:10.123,tcp_client,latency_step_start,shuffle,1,A,40,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=40 | duration_sec=300.0
2026-04-08 15:38:10.165,tcp_client,latency_step_end,shuffle,1,A,40,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=40 | status=completed
2026-04-08 15:38:10.196,tcp_client,latency_step_start,shuffle,1,B,40,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=40 | duration_sec=300.0
2026-04-08 15:43:10.228,tcp_client,latency_step_end,shuffle,1,B,40,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=40 | status=completed
2026-04-08 15:43:10.275,tcp_client,latency_step_start,shuffle,1,A,60,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=60 | duration_sec=300.0
2026-04-08 15:48:10.301,tcp_client,latency_step_end,shuffle,1,A,60,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=60 | status=completed
2026-04-08 15:48:10.354,tcp_client,latency_step_start,shuffle,1,B,60,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=60 | duration_sec=300.0
2026-04-08 15:53:10.386,tcp_client,latency_step_end,shuffle,1,B,60,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=60 | status=completed
2026-04-08 15:53:10.433,tcp_client,latency_step_start,shuffle,1,A,80,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=80 | duration_sec=300.0
2026-04-08 15:58:10.479,tcp_client,latency_step_end,shuffle,1,A,80,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=80 | status=completed
2026-04-08 15:58:10.511,tcp_client,latency_step_start,shuffle,1,B,80,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=80 | duration_sec=300.0
2026-04-08 16:03:10.593,tcp_client,latency_step_end,shuffle,1,B,80,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=80 | status=completed
2026-04-08 16:03:10.651,tcp_client,latency_step_start,shuffle,1,A,100,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=100 | duration_sec=300.0
2026-04-08 16:08:10.718,tcp_client,latency_step_end,shuffle,1,A,100,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=100 | status=completed
2026-04-08 16:08:10.786,tcp_client,latency_step_start,shuffle,1,B,100,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=100 | duration_sec=300.0
2026-04-08 16:13:10.822,tcp_client,latency_step_end,shuffle,1,B,100,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=B | latency_ms=100 | status=completed
2026-04-08 16:13:14.511,tcp_client,latency_step_start,shuffle,2,A,20,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=A | latency_ms=20 | duration_sec=300.0
2026-04-08 16:18:14.565,tcp_client,latency_step_end,shuffle,2,A,20,,completed,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP END | team=A | latency_ms=20 | status=completed
2026-04-08 16:18:14.619,tcp_client,latency_step_start,shuffle,2,B,20,300.0,,"[20, 40, 60, 80, 100]","['A', 'B']",LATENCY STEP START | team=B | latency_ms=20 | duration_sec=300.0
